   ,TELEPULES,LEIRO_FID,GEOM_FIDS,ANYAG,MERET,HOSSZ,HIBA_DB
4708,sopron,65781,1386421;1386543;1387336;1387337;1387342;1387343;1387348;1387349;1387354;1387355;1387361;1387362;1387373;1387374;1391221;1391222;2811112;2811113;2811452;2811453,ac,100,191.8600,
4709,sopron,65783,2813156;2813157,ac,100,7.6000,
4710,sopron,65784,1387591;78056053;78056061;78056062,kpe,140,531.0300,1
4711,sopron,65785,70857270;70857271,kpe,90,56.9200,
4712,sopron,65786,1404992;1404993;1410746;1410747;2814728;2814729;6274548;6274549,kpe,110,119.1200,
4713,sopron,65787,784498,ko,150,9.1400,1
4714,sopron,65788,784404,kpe,160,34.2900,
4715,sopron,65789,1386997;1405187;6274524;6274525,kpe,110,91.0900,
4716,sopron,65790,2808525;2808526,ko,150,8.9100,
4717,sopron,65791,1406953;2813259;35137013;35137014,kpe,160,27.5200,
4718,sopron,65792,1368439;1368440,kpe,110,50.9200,
4719,sopron,65793,1368457;2813529;2813530,kpe,110,10.6200,
4720,sopron,65795,1386556;6274802;14559791;14559792,kpe,110,112.3700,
4721,sopron,65796,2813844;2813845,kpe,110,2.1900,
4722,sopron,65797,1389309;1389313;1389314,kpe,160,69.0800,
4723,sopron,65798,1389906;1389907,kpe,110,140.0600,
4724,sopron,65799,2814499;68552942;68552943,kpe,110,83.8900,
4725,sopron,65800,2814583;6274579;6274580,kpe,110,81.6100,
4726,sopron,65801,1386982;1389319;1390139;1390483;2814662;2814663;5810091;5810092;6274646;6274647;6274652;13413053;13413054;66593756;66593803;66593804,kpe,110,176.8300,
4727,sopron,65802,1350130;1350134;1350139;1350144;1350145,kpe,160,71.4600,
4728,sopron,65803,1390122;1390126;1390127,kpe,110,228.6400,
4729,sopron,65804,2813332;2813333,kpe,90,1.9100,
4730,sopron,65805,2813299;2813300;6284776;6284777,kpe,160,165.8400,
4731,sopron,65806,1390132;1390494;1390495;1390501;1390502;1390782;2813392;2813393;2814674;2814675;13638374;44983026;44983027,kpe,110,264.5400,
4732,sopron,65807,1351100;1393914;1393915,kpe,160,103.6000,
4733,sopron,65808,1388930;1392710;1392711;1408820;2813499;6274603;6274604;43261744;43261745,kpe,110,494.8600,
4734,sopron,65809,1368248;1368253;1406947;6274597;6274598;6274616;6274617;6274695;6274700;6274706;6274707;33041184;33041185;44982920;44982921,kpe,110,238.7200,
4735,sopron,65810,1368453;6274671;62314305;62314306,kpe,110,190.3400,
4736,sopron,65811,1406473;2808996;2808997,kpe,90,198.8500,
4737,sopron,65890,1354046;1356359;1356364;1356365;1388505;6273823;6273824,kpe,90,84.7300,
4738,sopron,65893,1351970;1371314;1409183;1409184,ov,100,95.7100,
4739,sopron,65930,1406465;2808990;2808991,kpe,110,190.4000,
4740,sopron,65931,1406480;1406481;4482181;12512899;12512900,kpe,110,94.5800,
4741,sopron,65932,1408674;1409933;1409934;1410061;1410067;1410072;1410073;1410078;1410079;1410084;1410085;1410090;1410091,kpe,90,262.7600,
4742,sopron,65933,1407996;1408002;1408003;1408009;1408015;1409000;1409011;1409012;1409024;1409025;1409032;1409045;1409046;1409052;1409059;1409066;1409073;1409079;1409084;1409085;2813223;2813224;2813339;2813340,kpe,110,296.0900,
4743,sopron,65934,1360344;1394708;1395630;1395641;1395647;1395652;1395653;6273695;6273696,ac,80,79.3400,3
4744,sopron,65938,2814224;2814225,kpe,140,0.7100,
4745,sopron,65939,2809191;2809196;2809197,ko,150,28.0900,
4746,sopron,65940,1408108;1408746;1408747;1408908;1408909;1408914;1408915;1408921;1408922;1408927;1408928;1408934;1408935;1408941;2807121;2807122,ac,80,173.8900,1
4747,sopron,65941,1390424;1390430;2806521;2806522;4723934;87284621;87284622,ac,400,543.1100,2
4748,sopron,65944,781311,ac,80,1.9200,
4749,sopron,65945,1406476;2808965;2808966,kpe,110,88.0100,
4750,sopron,65946,1408711;1410904;1410905;1410910;1410911;1410916;1410921;1410922;2813614;2813615,kpe,110,95.2100,
4751,sopron,65947,1392050;1392318;5810145;5810146,kpe,110,70.3700,
4752,sopron,65948,2813346;2813347,kpe,90,79.5300,
4753,sopron,65950,1408904;2814418;2814419,ac,80,73.5600,
4754,sopron,65951,781358,kpe,160,95.4300,
4755,sopron,65952,781310,kpe,160,84.5000,
4756,sopron,65953,1406325;1406329;1406330;1411008;1411013;1411014;2814378;2814379,ac,100,62.1300,1
4757,sopron,65954,1410097;1410937;1410938,kpe,90,54.2300,
4758,sopron,65955,2807894;2807895,kpe,63,1.0000,
4759,sopron,65956,2817134;2817135,kpe,63,2.8000,
4760,sopron,65957,1407308;1407607;1407630;1410135;1410136;1410141;1410142;1410434;1410435;1410440;1410441;1410446;1410447;1411069;1411070;1411075;1411076;1411081;1411082;1411087;1411088;1411093;1411094;1411099;1411100;1411105;1411111;1411112;1411117;1411118;1411123;2814320;2814321;2814359;2814360,ac,80,208.1000,2
4761,sopron,65958,1407156;1409977;1409978,kpe,110,60.2400,
4762,sopron,65959,1390343;1408964;1408969;1408970;1408975;1408982;1410334;1410668;1410669;1411049;1411050;2814212;2814213;6271977;6271978;6271983;6271984;6272219;6272220,kpe,90,223.9600,
4763,sopron,65960,1390880;1390881,kpe,110,41.1400,
4764,sopron,65961,1351033;1409298;1409303;1409304;2814267;2814268;6271126;6271127;6272042;6272043;6272201;6272202;6272410;6272415;6272416;6272722;6272723,kpe,90,158.0700,
4765,sopron,65962,2814166;2814167,kpe,110,70.6100,
4766,sopron,65963,1407450;1407451;1407456;1407462;1407468;1408122;1408129;1408136;1408141;1408142;1408148;1408462;1408468;1408474;1408486;1408487;1408492;1408493;1408498;1408503;1408508;1408514;1408525;1408526;1408532;1408538;1408544;1408550;1408562;1408563;1408569;1408575;1408581;1408587;1408593;1409536;1409542;2814121;2814122;2814145;2814146,ac,80,243.0200,
4767,sopron,65964,2813998;2813999;6270887;6270888;6271138;6271139,kpe,90,28.0800,
4768,sopron,65965,1404924;1407030;1407031;1409381;1410424;1410429;1410430;1410610;6270893;6270894;6270965;41366223;41366224,kpe,90,139.2500,
4769,sopron,65966,1406173;2813909;6271024;6271025;6271031;6272007;6272008;6272917;6272918,kpe,90,311.8200,
