,LEIRO_FID,GEOM_FIDS,ANYAG,MERET,HOSSZ,HIBA_DB
2492,44733,1363744;1373043;1373044;1409218;1409219,ac,400,232.4000,
2493,62161,1395899;1399183;1399184;1399190;1399195;1399201;1399358;1399359;2828082;2828083;68821154;68821155,ac,100,215.5300,1
2494,62173,1373287;1374665;1374666;1374728;1374729;2831689;6274134;23894845;23894846;41366383;41366384,kpe,90,213.4800,
2495,62184,2833385;2833413;2833414,kpe,110,6.0900,
2496,58727,785854,ac,125,36.2600,
2497,62458,1393213;1400062;1400070;1400071,ac,100,107.1800,
2498,61974,781632,kpe,160,1.9000,
2499,60581,2806927;2806928,ko,200,14.0400,
2500,59879,1351282;2847431;2847432,ac,200,430.8200,1
2501,59889,1359128;1359132;1359136;1359137,ac,200,60.3000,
2502,59900,2846491;2846492,kpe,200,17.6100,
2503,59910,1410268;1410269,ov,80,55.6800,1
2504,59920,1359699;1359700;1359711;1359942;1360254;1366204;1366205;1374544;1374545,kpe,110,126.3000,
2505,48980,779934,kpe,160,20.5900,
2506,47086,2846282;2846283,ac,300,1.5700,
2507,48226,2807483;69196955;69196956,kpe,200,52.3600,
2508,45644,1367877;1367878;2844212;2844213,gov,200,68.3000,
2509,45676,2825996;2825997,gov,200,12.0000,
2510,76385,1363623;1363627;1363632;1363637;2845670;2845671,kpe,110,43.2600,6
2511,44775,1364325;1368651;1368658;2812434;2812435;2815085;2815086;6273485;6273486,ac,125,164.5700,3
2512,44790,2842324;2842325,kpe,315,1.0300,
2513,45930,2835460;2835461,kpe,110,3.8100,
2514,59683,1409707;2823892;2823893,gov,150,13.4000,
2515,59693,1355582;2845454;2845455,ov,50,56.9800,
2516,59703,1403671;1403675;1403680;1403685;1403690;2817923;2817924;2819625;2819626,ov,80,96.6600,2
2517,59714,2816489;2816490,kpe,110,15.9300,
2518,59725,1373281;1374418;1374419;2838047;2838048;44117246;44117247,kpe,90,144.6000,
2519,50179,1393509;1394593;1394594;1406716;1406717;6274530;6274531;83902772;83902773,kpe,160,183.0800,
2520,50189,1350657;2813272;2813273,kpe,160,39.2300,
2521,48010,1406469;2808941;2808942,kpe,90,195.9700,
2522,45936,1408324;1408327;1408328,kpe,110,105.3300,1
2523,45954,1376628;1376633;1376639;1376650;1376655;1376660;1376661;1388273;1388274;2819058;2819059,ac,100,101.0900,2
2524,45964,1353058;1380541;1380546;1380547;2845677;2845678,kpe,110,55.3700,
2525,44543,1349980;1376120;1376121;6284595;70225904;70260263;70260275;70260288;70260302;70260303,kpe,110,142.3200,
2526,44562,1380365;1397289;1397295;1397301;1397306;1397307;2840265;2840266,kpe,200,87.2500,1
2527,47120,1348671;1348674;1348679;1348680,kpe,110,70.6900,
2528,61987,1361210;1361214;1361215;1367467;1367468;2809216;2809217,ov,80,60.2500,
2529,61998,1399645;1400017;2815210;2815211,kpe,110,29.4900,
2530,62010,1350190;1359935;1359936;2826158;2826159,kpe,110,80.4700,
2531,49307,2807514;2807515,kpe,110,71.2200,
2532,45743,1397666;2822277;2822278,kpe,160,11.8500,2
2533,58573,2812309;2831630;2831631;6273321;6273432;6273433,ov,50,93.2700,1
2534,58583,1357877;1357882;1357887;1357898;1357911;1357917;1357923;1357928;1357929;1357939;1357940;1357945;1357950;1357955;1357964;1386372;1386373;2837210;2837211;2838819;2838820,kpe,160,186.2400,5
2535,59732,1349183;1375805;1392479;1398140;1398146;1398147;1398152;1398158;1398164;1398170;1398171,ac,300,144.5300,1
2536,59743,2825061;2825062,kpe,90,5.0000,
2537,59754,1348699;2831413;2831414,kpe,110,37.7800,
2538,49078,1386186;1386959;1386960;1386965;1386966,ac,150,51.0200,
2539,49694,1409310;2808213;2808214,kpe,110,12.9700,
2540,45753,1365071;1365077;1365081;2818127;2818128;2846402;2846403,kpe,110,70.3900,2
2541,45762,1398951;1398952;1398961;1398962;1398967;1398968;2833123;2833124,kpe,160,369.0800,
2542,45772,2842129;2842130,ov,100,0.8800,
2543,44835,1379681;1410653;1410654,ac,150,83.0400,
2544,48076,779879,gov,100,0.3500,
2545,62331,6273309;6273450;6273456;6273457,kpe,110,21.0900,
2546,61543,2843516;2843517,kpe,110,6.5400,
2547,59540,2810849;2810850,gov,200,0.6000,
2548,59550,2825808;2825809,kpe,160,37.4300,
2549,59561,795069,a,200,0.3500,
2550,46056,1349289;1349293;1349298;1349302;1349303,kpe,63,102.4400,
2551,47166,2815432;2815433,gov,150,1.4700,
2552,59575,1365782;1365787;1365792;1365797;2818563;2818564;2818619;2818620,ac,125,136.8800,2
2553,60040,2832375;2832376,kpe,110,62.6600,1
2554,60051,1402017;1402018;2826036;2826037,ac,100,42.3900,
2555,60062,1357997;1357998;1358008;1358013;1358023;1358028;1358033;1358038;1358043;1368023;1368024;1388366;1388367;2819124;2819125,ac,80,101.7600,2
2556,60072,783703,kpe,160,3.5000,
2557,60082,2846618;2846619,kpe,90,5.3100,
2558,48374,1409566;1409567;1409573;1409582;1409583;1409590;1409596;1409602;1409608;1409613;1409618;1409623;1409628;1409633;1409638;1409643;1409648;1409654;1409659;1409664;1409669;1409678;1409679;1410453;1410458;1410467;1410473;1410474;2814371;2814372;2814424;2814425,ac,80,200.2900,2
2559,48395,32144981;32144982,kpe,90,41.7400,
2560,45786,785698,kpe,110,30.1200,
2561,45796,1367748;2812985;2812986,gov,150,35.3700,
2562,76214,1392566;1392572;1392616;1392621;1392622;2806266;2806267,kpe,110,237.6500,
2563,76595,777950,gov,80,2.0000,
2564,49109,1406497;1406844;6272085;6272086;6272097;6272103;6272104;6272941;6272942;6272948;6272949,kpe,90,265.8000,
2565,49141,1407484;1408598;6272972;6272973;26931637;38997424;38997425,kpe,63,86.9200,
2566,76249,1410151;1410156;1410161;1410166;1410171;1410172;2809125,kpe,110,114.9900,
